# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 23:11:15+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.11.05-482568
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-21.11.05-482568
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 3.65398750806675e-05 3.65441759512609e-05 3.65084675440606e-05
1024 1 4.56570717086817e-05 4.56766083818046e-05 4.56660972448327e-05
1536 1.5 4.92782452450635e-05 4.92782710737886e-05 4.92782620207295e-05
2048 2 4.38709292733978e-05 4.38853620753912e-05 4.39322792502271e-05
2560 2.5 4.48990829311044e-05 4.49108560567563e-05 4.49061676871483e-05
3072 3 5.59364451941255e-05 5.59139033841137e-05 5.58829580432452e-05
3584 3.5 5.6210937305314e-05 5.61959998227139e-05 5.61719958956544e-05
4096 4 3.81095612494515e-05 3.81054791550333e-05 3.80949531294011e-05
4608 4.5 4.46766927203175e-05 4.4677700868918e-05 4.46787715564307e-05
5120 5 5.22426259173985e-05 5.20497790251691e-05 5.18056525565899e-05
5632 5.5 6.09334217717195e-05 6.09805635264008e-05 6.10561811193437e-05
6144 6 5.8372788131558e-05 5.84145404770742e-05 5.84796263529903e-05
6656 6.5 6.67483078894529e-05 6.67385973128766e-05 6.67257770302496e-05
7168 7 6.47630597038042e-05 6.47599921658226e-05 6.47496195571049e-05
7680 7.5 7.23740615944332e-05 7.23450704382198e-05 7.2311394982108e-05
8192 8 6.86121248124782e-05 6.86379676179239e-05 6.86485994422006e-05
8704 8.5 8.34144086138105e-05 8.3449472778181e-05 8.34976244165913e-05
9216 9 6.32898096997698e-05 6.32907291706298e-05 6.3283269447038e-05
9728 9.5 5.30355952059126e-05 5.30910110432085e-05 5.31530922289294e-05
10240 10 7.1392420330699e-05 7.14573893850612e-05 7.15246375463063e-05
10752 10.5 6.70755647717273e-05 6.71360311334082e-05 6.71783147016064e-05
11264 11 9.0528926813706e-05 9.05431966503716e-05 9.05671554874124e-05
11776 11.5 7.0169615929029e-05 7.02108397864753e-05 7.02633507240502e-05
12288 12 6.09266288594614e-05 6.09896613029322e-05 6.10198206748068e-05
12800 12.5 7.58762239268745e-05 7.58869238725891e-05 7.58889659489573e-05
13312 13 6.30881907247971e-05 6.30628232434441e-05 6.30184414291065e-05
13824 13.5 6.36172369679365e-05 6.36366666006193e-05 6.36376812418502e-05
14336 14 5.93422243759046e-05 5.93316821139995e-05 5.9322530242976e-05
14848 14.5 9.7783656911015e-05 9.77929710182257e-05 9.77730764046267e-05
15360 15 0.000119579650015296 0.000119586271602944 0.000119578292133492
15872 15.5 9.53026682767885e-05 9.52635099884263e-05 9.52235343396962e-05
16384 16 5.11062400031047e-05 5.10696132625717e-05 5.10376143981056e-05
16896 16.5 7.67339922821417e-05 7.67718714105883e-05 7.67372837276583e-05
17408 17 9.52610503346658e-05 9.52585774841035e-05 9.52277311945822e-05
17920 17.5 0.000110165195690214 0.000110153747383109 0.000110166230664719
18432 18 4.80307460784612e-05 4.80395442811166e-05 4.80517515255298e-05
18944 18.5 8.99804548599441e-05 9.00063840978254e-05 9.00292470302273e-05
19456 19 8.36989511951798e-05 8.36782607125185e-05 8.36450076259672e-05
19968 19.5 7.61237836185968e-05 7.61050776401284e-05 7.6078947532526e-05
20480 20 0.000105065169365956 0.000105065254176514 0.00010506125038333
20992 20.5 0.000123195824168106 0.000123198571852539 0.000123211722172329
21504 21 8.45220188638971e-05 8.45664273304163e-05 8.4635234092395e-05
22016 21.5 0.000106967661129839 0.000107004404225063 0.000107059335301583
22528 22 9.24073187649e-05 9.23968578923341e-05 9.23895507207906e-05
23040 22.5 0.000108116652935514 0.000108119744148158 0.000108153201124912
23552 23 0.000112188560201619 0.000112189937150316 0.000112167893293481
24064 23.5 0.000111955507674147 0.00011196944959339 0.000112117892241001
24576 24 0.000114261900058929 0.00011439516541503 0.000114534686093062
25088 24.5 0.000104113637179402 0.000104168433731374 0.000104216863637563
25600 25 0.000132333225220825 0.000132321142367399 0.000132347293714216
26112 25.5 8.13456440024686e-05 8.1288227917879e-05 8.13248949517183e-05
26624 26 9.05789783891519e-05 9.06622107108827e-05 9.07588415688681e-05
27136 26.5 0.000103707345426129 0.000103706025863464 0.00010366223593396
27648 27 0.000113488272674566 0.000113391008716953 0.0001133192117104
28160 27.5 7.96412550899073e-05 8.69336516470595e-05 8.48499094405668e-05
28672 28 0.000109123185009841 0.000109114049486329 0.000109112820065462
29184 28.5 9.48826651461342e-05 9.49181992229601e-05 9.4922941788004e-05
29696 29 0.000129760296657751 0.000129695220751649 0.000129626760997114
30208 29.5 0.000106876866781383 0.000106897159432352 0.000106874673095426
30720 30 0.000101840071918898 0.000101818064126554 0.000101752942969311
31232 30.5 9.78679910649396e-05 9.7642939028862e-05 9.74194931944221e-05
31744 31 0.000106289138476377 0.000106329798803234 0.00010631353916344
32256 31.5 6.64589783892514e-05 6.67894834162527e-05 6.70865174145006e-05
32768 32 8.33872623380752e-05 8.31012199366723e-05 8.28280039119649e-05
33280 32.5 5.74111747926112e-05 5.75256001701912e-05 6.08704664968286e-05
33792 33 6.28973207141588e-05 6.33333199563503e-05 5.4703538861905e-05
34304 33.5 8.54267106950443e-05 7.35215848478327e-05 5.8373413991245e-05
34816 34 0.000115493956150855 0.000102130771066308 7.8922380571096e-05
35328 34.5 0.000132850388244791 0.000119542871420525 0.000100161218054473
35840 35 0.000130654568166362 0.000118070938712613 0.000106530930866699
36352 35.5 0.000134988198492423 0.000137028297121199 0.000123294731663699
36864 36 0.000170472911977058 0.000173433125802719 0.000158912291090647
37376 36.5 0.000189898044151984 0.000193868283646714 0.000180793789948823
37888 37 0.000190251973190609 0.00019610054952697 0.000189228364717832
38400 37.5 0.00018012786176485 0.00018551140165286 0.000186199331573242
38912 38 0.00021324547281107 0.000161106832401837 0.000167773448014957
39424 38.5 0.000151986364034793 0.000154506237990351 0.000155143365572074
39936 39 0.000145775500940112 0.00014425936531421 0.000148928511320965
40448 39.5 0.000118947512086085 0.000118025745855235 0.000122988023143801
40960 40 9.91337974883699e-05 0.000109262000098582 0.000121215351334912
41472 40.5 9.63142251925817e-05 9.73649379794754e-05 0.000112702381652919
41984 41 9.56492072019091e-05 0.000115343760155291 0.000112747314844594
42496 41.5 9.63548715649603e-05 0.000117559171661393 0.00012208990406
43008 42 0.000109782868844615 0.000133946281472717 0.000121220130221157
43520 42.5 0.000108034115750337 0.000129370997583011 0.000113165189237046
44032 43 9.80627374913412e-05 0.000111710871891124 9.97856140688256e-05
44544 43.5 7.91327755662992e-05 9.42950291633107e-05 9.02772461734087e-05
45056 44 7.93395244159202e-05 7.84897317847311e-05 7.36206170215292e-05
45568 44.5 7.3603856260026e-05 7.34723719810277e-05 7.48216270380917e-05
46080 45 8.93077699139949e-05 8.96791635183012e-05 8.89905647122427e-05
46592 45.5 9.42591827351296e-05 9.40962122770495e-05 9.49251272473399e-05
47104 46 8.22538883292949e-05 8.08121606595836e-05 8.41379523156433e-05
47616 46.5 8.57164358082747e-05 8.89370899172301e-05 8.81971173573904e-05
48128 47 0.000111481519324448 9.90201943979605e-05 7.80976379001586e-05
48640 47.5 0.000142380187854754 0.000130673674205955 0.000106789167113239
49152 48 0.000168035369320157 0.000158694292224989 0.000137703916289528
49664 48.5 0.000192108011629114 0.000183978700570588 0.000173593436605946
50176 49 0.00020945395819334 0.000209270765748514 0.000201753615838335
50688 49.5 0.000225605454432068 0.000233438637317825 0.000234489747688815
51200 50 0.000233261390512199 0.000251170734793531 0.000261070229458856
51712 50.5 0.000218620449480663 0.000262655767119641 0.000276061959474195
52224 51 0.000184773934252208 0.000247220924886946 0.000278416093446873
52736 51.5 0.000152897813794735 0.000209858316895827 0.000253547029761716
53248 52 0.000155678802151216 0.00017402982620743 0.000218772700351905
53760 52.5 0.000173933841638581 0.000131878432549924 0.000184161275663914
54272 53 0.000185182056501121 0.000166375620397184 0.000122685428247094
54784 53.5 0.000178858135883287 0.000169197300564071 0.000163697077063435
55296 54 0.000155956469207735 0.000165005442579513 0.000171702378000543
55808 54.5 0.000151124613779771 0.000173929664290476 0.000182394743089734
56320 55 0.000156512584258684 0.000177395814701109 0.000194217217369959
56832 55.5 0.00016043336157456 0.000165805163952104 0.000180863388444121
57344 56 0.000212410337148611 0.000138690896997218 0.000153706440160313
57856 56.5 0.000256193319606189 0.000133927606001504 0.000134917912893113
58368 57 0.00029607993203992 0.000175420059474342 0.000154358666173637
58880 57.5 0.000329150034825505 0.000218245862479153 0.000202086322888888
59392 58 0.000353032709173953 0.000250239144115307 0.000237771399859429
59904 58.5 0.000353935568780882 0.000271194922596124 0.0002637542293978
60416 59 0.000311267870977606 0.000296620386412415 0.000288232163136133
60928 59.5 0.00031508216008895 0.000318184318921905 0.000321321404117801
61440 60 0.000320830286402786 0.000332106274019449 0.000343294661235164
61952 60.5 0.000303537763690639 0.000322629502182643 0.000340016966755112
62464 61 0.000321930484319049 0.000285593074645545 0.000314550618755986
62976 61.5 0.000291127809819331 0.000255898478087897 0.000281218072047548
63488 62 0.000275932059191124 0.000216632553597521 0.000245435165816607
64000 62.5 0.000255353700832261 0.000181684839598307 0.000209648123617175
64512 63 0.000214763375253969 0.000191540027047087 0.000175867045083963
65024 63.5 0.000207557654834609 0.000217939515678646 0.000202502580959946
65536 64 0.000236968909186736 0.000245057897595432 0.000233212138177273
66048 64.5 0.000254534233621122 0.000260295547137171 0.000254117875874267
66560 65 0.000252997610348969 0.00025950348209013 0.000253781823704887
67072 65.5 0.000244384331817083 0.000243499094478059 0.000249599867952005
67584 66 0.000224611142408828 0.000231025299673353 0.000237930251241226
68096 66.5 0.000231622490689392 0.00023367686583607 0.000217894182469062
68608 67 0.000230742137702196 0.000239316911978119 0.00022331831747401
69120 67.5 0.000216811652321303 0.000231725529312572 0.000213327343761263
69632 68 0.000212681719475573 0.000217495587364589 0.0002023869090817
70144 68.5 0.000227784189100655 0.000228349787209254 0.00020481329844412
70656 69 0.000244671308911676 0.000246498450874795 0.000233198081904743
71168 69.5 0.000250781032208065 0.000260136918830126 0.000257288169774622
71680 70 0.00022038404111902 0.000238279207054068 0.000247539705289206
72192 70.5 0.000190587356240096 0.000226489388742493 0.000245002108530277
72704 71 0.00015672832230365 0.000202646372898761 0.000229257137046141
73216 71.5 0.000129118569422195 0.000175329096377808 0.000197597876254657
73728 72 0.000114589889455283 0.000145384579537102 0.0001734962080059
74240 72.5 0.000122392988260842 0.00012697272682861 0.000151569199028624
74752 73 0.000114909599854947 0.000119300081798402 0.000128170692344016
75264 73.5 9.98518780520438e-05 9.63694305122966e-05 9.80721901854972e-05
75776 74 8.90903369746595e-05 8.6690103245665e-05 9.10847188892138e-05
76288 74.5 9.15183308061251e-05 9.15562001124324e-05 8.90814856841686e-05
76800 75 9.02401601961485e-05 9.42741596489987e-05 8.88146697181569e-05
77312 75.5 8.29523296068138e-05 8.39940978847834e-05 8.07913584573994e-05
77824 76 7.85703270389201e-05 7.55370393594236e-05 7.43297194123366e-05
78336 76.5 7.42027315609018e-05 7.43261463349954e-05 6.91095170633649e-05
