# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 13 2025 at 00:40:06+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.39.55-524101
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.39.55-524101
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
0 0 9.99999999999999e-09
512 0.5 9.99999999999999e-09
1024 1 9.99999999999999e-09
1536 1.5 9.99999999999999e-09
2048 2 9.99999999999999e-09
2560 2.5 9.99999999999999e-09
3072 3 9.99999999999999e-09
3584 3.5 9.99999999999999e-09
4096 4 9.99999999999999e-09
4608 4.5 9.99999999999999e-09
5120 5 9.99999999999999e-09
5632 5.5 9.99999999999999e-09
6144 6 9.99999999999999e-09
6656 6.5 9.99999999999999e-09
7168 7 9.99999999999999e-09
7680 7.5 9.99999999999999e-09
8192 8 9.99999999999999e-09
8704 8.5 9.99999999999999e-09
9216 9 9.99999999999999e-09
9728 9.5 9.99999999999999e-09
10240 10 9.99999999999999e-09
10752 10.5 9.99999999999999e-09
11264 11 9.99999999999999e-09
11776 11.5 9.99999999999999e-09
12288 12 9.99999999999999e-09
12800 12.5 9.99999999999999e-09
13312 13 9.99999999999999e-09
13824 13.5 9.99999999999999e-09
14336 14 9.99999999999999e-09
14848 14.5 9.99999999999999e-09
15360 15 9.99999999999999e-09
15872 15.5 9.99999999999999e-09
16384 16 9.99999999999999e-09
16896 16.5 9.99999999999999e-09
17408 17 9.99999999999999e-09
17920 17.5 9.99999999999999e-09
18432 18 9.99999999999999e-09
18944 18.5 9.99999999999999e-09
19456 19 9.99999999999999e-09
19968 19.5 9.99999999999999e-09
20480 20 9.99999999999999e-09
20992 20.5 9.99999999999999e-09
21504 21 9.99999999999999e-09
22016 21.5 9.99999999999999e-09
22528 22 9.99999999999999e-09
23040 22.5 9.99999999999999e-09
23552 23 9.99999999999999e-09
24064 23.5 9.99999999999999e-09
24576 24 9.99999999999999e-09
25088 24.5 9.99999999999999e-09
25600 25 9.99999999999999e-09
26112 25.5 9.99999999999999e-09
26624 26 9.99999999999999e-09
27136 26.5 9.99999999999999e-09
27648 27 9.99999999999999e-09
28160 27.5 9.99999999999999e-09
28672 28 9.99999999999999e-09
29184 28.5 9.99999999999999e-09
29696 29 9.99999999999999e-09
30208 29.5 9.99999999999999e-09
30720 30 9.99999999999999e-09
31232 30.5 9.99999999999999e-09
31744 31 9.99999999999999e-09
32256 31.5 9.99999999999999e-09
32768 32 9.99999999999999e-09
33280 32.5 9.99999999999999e-09
33792 33 9.99999999999999e-09
34304 33.5 9.99999999999999e-09
34816 34 9.99999999999999e-09
35328 34.5 9.99999999999999e-09
35840 35 9.99999999999999e-09
36352 35.5 9.99999999999999e-09
36864 36 9.99999999999999e-09
37376 36.5 9.99999999999999e-09
37888 37 9.99999999999999e-09
38400 37.5 9.99999999999999e-09
38912 38 9.99999999999999e-09
39424 38.5 9.99999999999999e-09
39936 39 9.99999999999999e-09
40448 39.5 9.99999999999999e-09
40960 40 9.99999999999999e-09
41472 40.5 9.99999999999999e-09
41984 41 9.99999999999999e-09
42496 41.5 9.99999999999999e-09
43008 42 9.99999999999999e-09
43520 42.5 9.99999999999999e-09
44032 43 9.99999999999999e-09
44544 43.5 9.99999999999999e-09
45056 44 9.99999999999999e-09
45568 44.5 9.99999999999999e-09
46080 45 9.99999999999999e-09
46592 45.5 9.99999999999999e-09
47104 46 9.99999999999999e-09
47616 46.5 9.99999999999999e-09
48128 47 9.99999999999999e-09
48640 47.5 9.99999999999999e-09
49152 48 9.99999999999999e-09
49664 48.5 9.99999999999999e-09
50176 49 9.99999999999999e-09
50688 49.5 9.99999999999999e-09
51200 50 9.99999999999999e-09
51712 50.5 9.99999999999999e-09
52224 51 9.99999999999999e-09
52736 51.5 9.99999999999999e-09
53248 52 9.99999999999999e-09
53760 52.5 9.99999999999999e-09
54272 53 9.99999999999999e-09
54784 53.5 9.99999999999999e-09
55296 54 9.99999999999999e-09
55808 54.5 9.99999999999999e-09
56320 55 9.99999999999999e-09
56832 55.5 9.99999999999999e-09
57344 56 9.99999999999999e-09
57856 56.5 9.99999999999999e-09
58368 57 9.99999999999999e-09
58880 57.5 9.99999999999999e-09
59392 58 9.99999999999999e-09
59904 58.5 9.99999999999999e-09
60416 59 9.99999999999999e-09
60928 59.5 9.99999999999999e-09
61440 60 9.99999999999999e-09
61952 60.5 9.99999999999999e-09
62464 61 9.99999999999999e-09
62976 61.5 9.99999999999999e-09
63488 62 9.99999999999999e-09
64000 62.5 9.99999999999999e-09
64512 63 9.99999999999999e-09
65024 63.5 9.99999999999999e-09
65536 64 9.99999999999999e-09
66048 64.5 9.99999999999999e-09
66560 65 9.99999999999999e-09
67072 65.5 9.99999999999999e-09
67584 66 9.99999999999999e-09
68096 66.5 9.99999999999999e-09
68608 67 9.99999999999999e-09
69120 67.5 9.99999999999999e-09
69632 68 9.99999999999999e-09
70144 68.5 9.99999999999999e-09
70656 69 9.99999999999999e-09
71168 69.5 9.99999999999999e-09
71680 70 9.99999999999999e-09
72192 70.5 9.99999999999999e-09
72704 71 9.99999999999999e-09
73216 71.5 9.99999999999999e-09
73728 72 9.99999999999999e-09
74240 72.5 9.99999999999999e-09
74752 73 9.99999999999999e-09
75264 73.5 9.99999999999999e-09
75776 74 9.99999999999999e-09
76288 74.5 9.99999999999999e-09
76800 75 9.99999999999999e-09
77312 75.5 9.99999999999999e-09
77824 76 9.99999999999999e-09
78336 76.5 9.99999999999999e-09
78848 77 9.99999999999999e-09
79360 77.5 9.99999999999999e-09
79872 78 9.99999999999999e-09
80384 78.5 9.99999999999999e-09
80896 79 9.99999999999999e-09
81408 79.5 9.99999999999999e-09
81920 80 9.99999999999999e-09
82432 80.5 9.99999999999999e-09
82944 81 9.99999999999999e-09
83456 81.5 9.99999999999999e-09
83968 82 9.99999999999999e-09
84480 82.5 9.99999999999999e-09
84992 83 9.99999999999999e-09
85504 83.5 9.99999999999999e-09
86016 84 9.99999999999999e-09
86528 84.5 9.99999999999999e-09
87040 85 9.99999999999999e-09
87552 85.5 9.99999999999999e-09
88064 86 9.99999999999999e-09
88576 86.5 9.99999999999999e-09
89088 87 9.99999999999999e-09
89600 87.5 9.99999999999999e-09
90112 88 9.99999999999999e-09
90624 88.5 9.99999999999999e-09
91136 89 9.99999999999999e-09
91648 89.5 9.99999999999999e-09
92160 90 9.99999999999999e-09
92672 90.5 9.99999999999999e-09
