# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 13 2025 at 00:40:06+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.39.55-524101
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-22.39.55-524101
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.5 0.0303868254229292 0.0303868254229292 0.0303868254229292
1024 1 0.0280179761287212 0.0280179761287212 0.0280179761287212
1536 1.5 0.0257190032393144 0.0257190032393144 0.0257190032393144
2048 2 0.0234939744366267 0.0234939744366267 0.0234939744366268
2560 2.5 0.021709840917253 0.021709840917253 0.021709840917253
3072 3 0.0203284754510239 0.0203284754510239 0.0203284754510239
3584 3.5 0.0189719793506014 0.0189719793506014 0.0189719793506013
4096 4 0.0176465802469958 0.0176465802469958 0.0176465802469957
4608 4.5 0.0163032484211984 0.0163032484211984 0.0163032484211982
5120 5 0.014859788365898 0.014859788365898 0.0148597883658977
5632 5.5 0.0132243767359979 0.0132243767359979 0.0132243767359976
6144 6 0.0114545411977276 0.0114545411977276 0.0114545411977276
6656 6.5 0.00958975511620229 0.00958975511620229 0.00958975511620229
7168 7 0.00889872024488476 0.00889872024488477 0.00889872024488442
7680 7.5 0.00924633831060048 0.00924633831060051 0.00924633831060028
8192 8 0.00955745629233714 0.00955745629233701 0.00955745629233725
8704 8.5 0.00982678523288213 0.00982678523288195 0.00982678523288224
9216 9 0.0100573888236566 0.0100573888236567 0.0100573888236565
9728 9.5 0.0102559788877939 0.0102559788877942 0.010255978887794
10240 10 0.0104266069883316 0.0104266069883319 0.0104266069883319
10752 10.5 0.0105683699313212 0.0105683699313214 0.0105683699313216
11264 11 0.0106777907531249 0.0106777907531248 0.0106777907531248
11776 11.5 0.0107535612430729 0.0107535612430727 0.0107535612430724
12288 12 0.01079780156667 0.0107978015666699 0.0107978015666698
12800 12.5 0.0108128890372648 0.0108128890372647 0.0108128890372649
13312 13 0.010799888547883 0.0107998885478829 0.010799888547883
13824 13.5 0.0107597202765493 0.0107597202765493 0.0107597202765494
14336 14 0.0106931632084827 0.010693163208483 0.0106931632084831
14848 14.5 0.0106007935243256 0.0106007935243258 0.0106007935243262
15360 15 0.0104854094349861 0.0104854094349863 0.0104854094349867
15872 15.5 0.0103526075957325 0.0103526075957324 0.0103526075957326
16384 16 0.0102068362370244 0.0102068362370243 0.0102068362370242
16896 16.5 0.010048889584829 0.010048889584829 0.010048889584829
17408 17 0.00987858353727188 0.00987858353727204 0.00987858353727236
17920 17.5 0.00969706641830959 0.00969706641830965 0.00969706641831009
18432 18 0.00950518688916687 0.00950518688916707 0.00950518688916733
18944 18.5 0.00930231826760574 0.00930231826760626 0.00930231826760635
19456 19 0.00908833337637901 0.00908833337637933 0.00908833337637941
19968 19.5 0.00886465804449985 0.00886465804449957 0.00886465804449971
20480 20 0.0086670956758328 0.00866709567583276 0.00866709567583266
20992 20.5 0.00847157940210078 0.00847157940210036 0.00847157940210065
21504 21 0.00826674193896166 0.00826674193896183 0.00826674193896196
22016 21.5 0.00805643142949282 0.00805643142949306 0.00805643142949317
22528 22 0.00784651564546436 0.00784651564546476 0.0078465156454648
23040 22.5 0.00765116670202271 0.00765116670202347 0.0076511667020237
23552 23 0.00747181609963962 0.00747181609963977 0.00747181609964047
24064 23.5 0.00729385535552704 0.00729385535552704 0.0072938553555274
24576 24 0.00710949740434343 0.00710949740434375 0.00710949740434343
25088 24.5 0.00691068116574049 0.00691068116574058 0.00691068116574044
25600 25 0.00668637055140731 0.0066863705514072 0.00668637055140728
26112 25.5 0.00642595748009068 0.00642595748009116 0.00642595748009072
26624 26 0.00613083556217634 0.00613083556217728 0.00613083556217655
27136 26.5 0.00581939628257344 0.00581939628257417 0.00581939628257366
27648 27 0.00554784512963137 0.0055478451296314 0.00554784512963199
28160 27.5 0.00536781937305423 0.00536781937305399 0.00536781937305442
28672 28 0.00517755354994152 0.00517755354994118 0.00517755354994086
29184 28.5 0.00498125531721042 0.00498125531721006 0.00498125531720953
29696 29 0.00478838491266442 0.00478838491266427 0.00478838491266436
30208 29.5 0.00460196958121877 0.00460196958121874 0.00460196958121928
30720 30 0.00442144275244143 0.00442144275244131 0.0044214427524415
31232 30.5 0.0042462843098659 0.0042462843098656 0.00424628430986546
31744 31 0.00407714803741927 0.00407714803741882 0.004077148037419
32256 31.5 0.00391366660742527 0.00391366660742467 0.00391366660742528
32768 32 0.00375341595438703 0.00375341595438652 0.00375341595438676
33280 32.5 0.00363289634018762 0.00363289634018764 0.00363289634018773
33792 33 0.0036172604150429 0.00361726041504268 0.00361726041504281
34304 33.5 0.00359511218026151 0.00359511218026123 0.00359511218026113
34816 34 0.00356782289813547 0.0035678228981354 0.00356782289813506
35328 34.5 0.00353900159531496 0.00353900159531509 0.00353900159531482
35840 35 0.00351067338103178 0.0035106733810321 0.00351067338103196
36352 35.5 0.00348147737421781 0.00348147737421821 0.00348147737421808
36864 36 0.00344841845508329 0.0034484184550837 0.00344841845508352
37376 36.5 0.0034099342142369 0.00340993421423728 0.00340993421423703
37888 37 0.0033676199051719 0.00336761990517231 0.00336761990517204
38400 37.5 0.00332473637229341 0.00332473637229375 0.00332473637229374
38912 38 0.00328183440339294 0.00328183440339318 0.00328183440339332
39424 38.5 0.00326974004902223 0.00326974004902236 0.00326974004902212
39936 39 0.00329984294508678 0.0032998429450868 0.003299842945087
40448 39.5 0.00332632429023329 0.00332632429023405 0.00332632429023384
40960 40 0.0033509475643927 0.00335094756439325 0.00335094756439281
41472 40.5 0.0033756587346681 0.00337565873466807 0.00337565873466818
41984 41 0.00340038895010843 0.00340038895010825 0.00340038895010839
42496 41.5 0.00342346535433787 0.00342346535433798 0.00342346535433813
43008 42 0.00344384186781809 0.00344384186781804 0.00344384186781821
43520 42.5 0.00346311042538509 0.0034631104253851 0.00346311042538505
44032 43 0.00348294685912926 0.00348294685912924 0.00348294685912935
44544 43.5 0.0035036980576077 0.00350369805760758 0.00350369805760776
45056 44 0.00352480039457275 0.00352480039457257 0.00352480039457271
45568 44.5 0.00354611043580264 0.00354611043580264 0.00354611043580259
46080 45 0.00356854989094419 0.00356854989094413 0.00356854989094437
46592 45.5 0.00359352467564336 0.00359352467564334 0.00359352467564346
47104 46 0.00362084408157479 0.00362084408157496 0.00362084408157491
47616 46.5 0.00365036129767242 0.00365036129767246 0.00365036129767237
48128 47 0.00368293744055496 0.00368293744055483 0.003682937440555
48640 47.5 0.00371960645679838 0.00371960645679809 0.00371960645679813
49152 48 0.00376048994763837 0.00376048994763789 0.00376048994763825
49664 48.5 0.00380505283623345 0.00380505283623338 0.00380505283623354
50176 49 0.00385192436326229 0.00385192436326229 0.0038519243632623
50688 49.5 0.00390051768572389 0.00390051768572391 0.00390051768572415
51200 50 0.003951749930886 0.00395174993088542 0.00395174993088575
51712 50.5 0.00400562450232665 0.00400562450232618 0.00400562450232623
52224 51 0.00414347238977981 0.0041434723897794 0.00414347238977986
52736 51.5 0.0042994943450901 0.00429949434508997 0.00429949434509014
53248 52 0.00445368884087912 0.00445368884087883 0.00445368884087952
53760 52.5 0.00460504564552347 0.00460504564552308 0.00460504564552343
54272 53 0.00475340283539274 0.00475340283539245 0.00475340283539275
54784 53.5 0.0048988184841794 0.0048988184841792 0.00489881848417936
55296 54 0.00504064824332242 0.00504064824332217 0.00504064824332277
55808 54.5 0.00517778085470566 0.00517778085470527 0.00517778085470596
56320 55 0.00530976392639888 0.00530976392639875 0.00530976392639903
56832 55.5 0.00543636498110702 0.00543636498110687 0.00543636498110667
57344 56 0.00555744110961696 0.00555744110961689 0.00555744110961684
57856 56.5 0.00567219523853069 0.00567219523853051 0.00567219523853093
58368 57 0.00577970084844516 0.00577970084844528 0.0057797008484458
58880 57.5 0.0058805883398017 0.00588058833980142 0.0058805883398019
59392 58 0.00597537635454996 0.00597537635454968 0.0059753763545495
59904 58.5 0.00606389940312954 0.00606389940312952 0.00606389940312951
60416 59 0.00614518624184336 0.0061451862418431 0.00614518624184333
60928 59.5 0.00621818580089784 0.00621818580089769 0.00621818580089806
61440 60 0.00628254481560968 0.00628254481560928 0.00628254481560958
61952 60.5 0.0063385574617826 0.00633855746178236 0.00633855746178248
62464 61 0.00638642927203868 0.00638642927203873 0.00638642927203849
62976 61.5 0.00642578166713401 0.00642578166713416 0.00642578166713437
63488 62 0.00645590301488307 0.00645590301488307 0.00645590301488358
64000 62.5 0.00647632181738836 0.00647632181738796 0.00647632181738835
64512 63 0.00648708216952255 0.00648708216952189 0.00648708216952224
65024 63.5 0.0064884928389046 0.00648849283890407 0.00648849283890452
65536 64 0.00648073149075888 0.00648073149075874 0.00648073149075892
66048 64.5 0.00646146921358597 0.00646146921358669 0.00646146921358612
66560 65 0.00642590300346165 0.006425903003462 0.00642590300346165
67072 65.5 0.00637471189733506 0.00637471189733481 0.0063747118973351
67584 66 0.00630890268766999 0.00630890268766943 0.00630890268766996
68096 66.5 0.0062295762262566 0.0062295762262565 0.00622957622625661
68608 67 0.00613903099763902 0.0061390309976391 0.00613903099763888
69120 67.5 0.00604177349830098 0.00604177349830089 0.0060417734983008
69632 68 0.00593896730597483 0.00593896730597444 0.00593896730597468
70144 68.5 0.00583064298762199 0.00583064298762159 0.00583064298762186
70656 69 0.00571703892508743 0.00571703892508712 0.00571703892508753
71168 69.5 0.00559866822345823 0.00559866822345802 0.00559866822345825
71680 70 0.00547611616837887 0.00547611616837867 0.00547611616837873
72192 70.5 0.00534981343750007 0.00534981343749973 0.00534981343750025
