# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:39:28+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.39.19-413798
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.39.19-413798
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
0 0 1
512 0.6 1
1024 1.2 1
1536 1.8 1
2048 2.4 1
2560 3 1
3072 3.6 1
3584 4.2 1
4096 4.8 1
4608 5.4 1
5120 6 1
5632 6.6 1
6144 7.2 1
6656 7.8 1
7168 8.4 1
7680 9 1
8192 9.6 1
8704 10.2 1
9216 10.8 1
9728 11.4 1
10240 12 1
10752 12.6 1
11264 13.2 1
11776 13.8 1
12288 14.4 1
12800 15 1
13312 15.6 1
13824 16.2 1
14336 16.8 1
14848 17.4 1
15360 18 1
15872 18.6 1
16384 19.2 1
16896 19.8 1
17408 20.4 1
17920 21 1
18432 21.6 1
18944 22.2 1
19456 22.8 1
19968 23.4 1
20480 24 1
20992 24.6 1
21504 25.2 1
22016 25.8 1
22528 26.4 1
23040 27 1
23552 27.6 1
24064 28.2 1
24576 28.8 1
25088 29.4 1
25600 30 1
26112 30.6 1
26624 31.2 1
27136 31.8 1
27648 32.4 1
28160 33 1
28672 33.6 1
29184 34.2 1
29696 34.8 1
30208 35.4 1
30720 36 1
31232 36.6 1
31744 37.2 1
32256 37.8 1
32768 38.4 1
33280 39 1
33792 39.6 1
34304 40.2 1
34816 40.8 1
35328 41.4 1
35840 42 1
36352 42.6 1
36864 43.2 1
37376 43.8 1
37888 44.4 1
38400 45 1
38912 45.6 1
39424 46.2 1
39936 46.8 1
40448 47.4 1
40960 48 1
41472 48.6 1
41984 49.2 1
42496 49.8 1
43008 50.4 1
43520 51 1
44032 51.6 1
44544 52.2 1
45056 52.8 1
45568 53.4 1
46080 54 1
46592 54.6 1
47104 55.2 1
47616 55.8 1
48128 56.4 1
48640 57 1
49152 57.6 1
49664 58.2 1
50176 58.8 1
50688 59.4 1
51200 60 1
51712 60.6 1
52224 61.2 1
52736 61.8 1
53248 62.4 1
53760 63 1
54272 63.6 1
54784 64.2 1
55296 64.8 1
55808 65.4 1
56320 66 1
56832 66.6 1
57344 67.2 1
57856 67.8 1
58368 68.4 1
58880 69 1
59392 69.6 1
59904 70.2 1
60416 70.8 1
60928 71.4 1
61440 72 1
61952 72.6 1
62464 73.2 1
62976 73.8 1
63488 74.4 1
64000 75 1
64512 75.6 1
65024 76.2 1
65536 76.8 1
66048 77.4 1
66560 78 1
67072 78.6 1
67584 79.2 1
68096 79.8 1
68608 80.4 1
69120 81 1
69632 81.6 1
70144 82.2 1
70656 82.8 1
71168 83.4 1
71680 84 1
72192 84.6 1
72704 85.2 1
73216 85.8 1
73728 86.4 1
74240 87 1
74752 87.6 1
75264 88.2 1
75776 88.8 1
76288 89.4 1
76800 90 1
77312 90.6 1
77824 91.2 1
78336 91.8 1
78848 92.4 1
79360 93 1
79872 93.6 1
80384 94.2 1
80896 94.8 1
81408 95.4 1
81920 96 1
82432 96.6 1
82944 97.2 1
83456 97.8 1
83968 98.4 1
84480 99 1
84992 99.6 1
85504 100.2 1
86016 100.8 1
86528 101.4 1
87040 102 1
87552 102.6 1
88064 103.2 1
88576 103.8 1
89088 104.4 1
89600 105 1
90112 105.6 1
90624 106.2 1
91136 106.8 1
91648 107.4 1
92160 108 1
92672 108.6 1
93184 109.2 1
93696 109.8 1
94208 110.4 1
94720 111 1
95232 111.6 1
95744 112.2 1
96256 112.8 1
96768 113.4 1
97280 114 1
97792 114.6 1
98304 115.2 1
98816 115.8 1
99328 116.4 1
99840 117 1
100352 117.6 1
100864 118.2 1
101376 118.8 1
101888 119.4 1
102400 120 1
102912 120.6 1
103424 121.2 1
103936 121.8 1
104448 122.4 1
104960 123 1
105472 123.6 1
105984 124.2 1
106496 124.8 1
107008 125.4 1
107520 126 1
108032 126.6 1
108544 127.2 1
109056 127.8 1
109568 128.4 1
110080 129 1
110592 129.6 1
111104 130.2 1
111616 130.8 1
112128 131.4 1
112640 132 1
113152 132.6 1
113664 133.2 1
114176 133.8 1
114688 134.4 1
115200 135 1
115712 135.6 1
116224 136.2 1
116736 136.8 1
117248 137.4 1
117760 138 1
118272 138.6 1
118784 139.2 1
119296 139.8 1
119808 140.4 1
120320 141 1
120832 141.6 1
121344 142.2 1
121856 142.8 1
122368 143.4 1
122880 144 1
123392 144.6 1
123904 145.2 1
124416 145.8 1
124928 146.4 1
125440 147 1
